id;name
1;Healthcare
2;Media and commerce
3;Banking and insurances
4;Mobility and transportation
5;Automotive
6;Smart cities and buildings
7;Retail and consumer services
8;Manufacturing
9;Smart home
10;Government and public services
11;Maritime
12;Energy and circular economy
